k,n,collision_prob
4,2048,0.3361508893753401
4,256,0.4375
3,4096,0.29166666666666663
4,2048,0.3361508893753401
3,4096,0.29166666666666663
4,512,0.39772410381342865
4,2048,0.3361508893753401
2,4096,0.25
4,4096,0.3125
2,2048,0.2736508893753401
3,4096,0.29166666666666663
4,1024,0.36427669529663687
4,64,0.5410533905932737
3,128,0.46396844541734694
3,512,0.37689077048009534
2,2048,0.2736508893753401
4,8192,0.29261205190671435
4,1024,0.36427669529663687
2,128,0.42230177875068026
4,64,0.5410533905932737
2,4096,0.25
4,64,0.5410533905932737
4,64,0.5410533905932737
4,512,0.39772410381342865
2,128,0.42230177875068026
3,512,0.37689077048009534
3,2048,0.3153175560420068
2,2048,0.2736508893753401
3,512,0.37689077048009534
4,64,0.5410533905932737
4,1024,0.36427669529663687
2,256,0.375
4,256,0.4375
4,64,0.5410533905932737
4,8192,0.29261205190671435
4,8192,0.29261205190671435
2,8192,0.23011205190671433
4,2048,0.3361508893753401
4,1024,0.36427669529663687
3,128,0.46396844541734694
4,256,0.4375
2,256,0.375
3,128,0.46396844541734694
2,8192,0.23011205190671433
4,1024,0.36427669529663687
2,256,0.375
3,2048,0.3153175560420068
4,64,0.5410533905932737
3,1024,0.3434433619633035
4,256,0.4375
2,8192,0.23011205190671433
3,4096,0.29166666666666663
2,512,0.33522410381342865
3,1024,0.3434433619633035
4,512,0.39772410381342865
2,256,0.375
3,4096,0.29166666666666663
4,4096,0.3125
4,1024,0.36427669529663687
2,512,0.33522410381342865
4,2048,0.3361508893753401
3,512,0.37689077048009534
4,4096,0.3125
2,8192,0.23011205190671433
