From,To,LossForm,Parameters,ReferenceLemma,Notes
Psi.Bounds.Budget.Core,Psi.Bounds.Fooling.General,"(log_2 M)^1 × (B(d,n))^-1","α=1; β=-1",Psi.Bounds.Fooling.General,"channel capacity"
Psi.Bounds.Budget.Core,Psi.Bounds.Fano.General,"(log_2 M)^1 × (B(d,n))^-1","α=1; β=-1",Psi.Bounds.Fano.General,"average-case via Fano"
Psi.Bounds.Fooling.General,Psi.Hierarchy.General.LB_LkT,"(log_2 M)^1 × (B(d,n))^-1","α=1; β=-1",Psi.Hierarchy.General.LB_LkT,"depth k-1 LB"
Psi.Bounds.Fano.General,Psi.Hierarchy.General.LB_LkT,"(log_2 M)^1 × (B(d,n))^-1","α=1; β=-1",Psi.Hierarchy.General.LB_LkT,"depth k-1 LB (avg-case)"
Psi.Relax.R1.PublicRand,Psi.Hierarchy.General.LB_LkT,"(log_2 M)^1 × (B(d,n))^-1","α=1; β=-1",Psi.Bounds.Fano.General,"relaxation degradation"
Psi.Relax.R2.MultiPass,Psi.Hierarchy.General.LB_LkT,"(log_2 M)^1 × (B(d,n))^-1","α=1; β=-1",Psi.Bounds.Fooling.General,"relaxation degradation"
Psi.Relax.R3.Advice,Psi.Hierarchy.General.LB_LkT,"(log_2 M)^1 × (B(d,n))^-1","α=1; β=-1",Psi.Bounds.Fooling.General,"relaxation degradation"
Psi.Relax.R4.Bandwidth,Psi.Hierarchy.General.LB_LkT,"(log_2 M)^1 × (B(d,n))^-1","α=1; β=-1",Psi.Bounds.Fano.General,"relaxation degradation"
Psi.Bridge.MachineToTree,Psi.Bridge.TreeToCircuit,"(log_2 M)^α × (B(d,n))^β","α, β per lemma",Psi.Bridge.TreeToCircuit,"bridge composition"
Psi.Bridge.TreeToCircuit,Psi.Hierarchy.General.MainTheorem,"(log_2 M)^0 × (B(d,n))^0","α=0; β=0",Psi.Hierarchy.General.MainTheorem,"bridge termination"
Psi.Hierarchy.General.UB_LkT,Psi.Hierarchy.General.MainTheorem,"(log_2 M)^0 × (B(d,n))^0","α=0; β=0",Psi.Hierarchy.General.MainTheorem,"UB part"
Psi.Hierarchy.General.AntiSim_Generalized,Psi.Hierarchy.General.MainTheorem,"(log_2 M)^0 × (B(d,n))^0","—",Psi.Hierarchy.General.MainTheorem,"anti-sim guard"
Psi.Hierarchy.General.LB_LkT,Psi.Hierarchy.General.MainTheorem,"(log_2 M)^0 × (B(d,n))^0","α=0; β=0",Psi.Hierarchy.General.MainTheorem,"LB contributes to theorem"
